app_name,year,recommendations
From the Depths,2015,9
The Incredible Adventures of Van Helsing,2013,6
The Incredible Adventures of Van Helsing,2014,2
The Incredible Adventures of Van Helsing,2015,1
Galactic Civilizations III,2015,8
Dead Sky,2013,2
Fractured Space,2014,2
Fractured Space,2015,20
Far Cry 3 - Blood Dragon,2014,18
Far Cry 3 - Blood Dragon,2015,1
Far Cry 3 - Blood Dragon,2013,7
Rivals of Aether,2015,5
WARMODE,2015,14
Don't Starve: Shipwrecked,2015,6
Empire: Total War™,2013,10
Empire: Total War™,2014,14
Empire: Total War™,2011,4
Empire: Total War™,2015,16
Empire: Total War™,2012,2
Thief,2014,19
Thief,2015,2
Rebel Galaxy,2015,1
Hero of the Kingdom II,2015,2
Wild Season,2015,2
RIFT,2013,19
RIFT,2015,6
RIFT,2014,19
RIFT,2011,6
Hammerwatch,2014,12
Hammerwatch,2015,4
Hammerwatch,2013,2
Counter-Strike,2015,25
Counter-Strike,2011,2
Counter-Strike,2014,28
Counter-Strike,2012,6
Counter-Strike,2013,7
SPINTIRES™,2014,27
SPINTIRES™,2015,15
SMITE®,2015,43
Cities: Skylines,2015,79
Fable Anniversary,2015,3
Fable Anniversary,2014,9
SOMA,2015,6
Aliens vs. Predator™,2012,4
Aliens vs. Predator™,2013,2
Aliens vs. Predator™,2014,8
Aliens vs. Predator™,2015,8
Outlast,2014,49
Outlast,2013,10
Outlast,2015,23
Infinifactory,2015,5
Toki Tori 2+,2013,2
Toki Tori 2+,2014,2
Pinball Arcade,2013,5
Pinball Arcade,2015,2
Contagion,2013,5
Contagion,2014,43
Contagion,2015,3
Life is Feudal: Your Own,2014,14
Life is Feudal: Your Own,2015,4
Freestyle 2: Street Basketball,2015,9
Crawl,2014,4
Crawl,2015,2
Red Faction,2014,3
FINAL FANTASY VIII,2013,6
FINAL FANTASY VIII,2015,4
FINAL FANTASY VIII,2014,7
Unreal Tournament 3 Black,2012,2
Unreal Tournament 3 Black,2014,3
Unreal Tournament 3 Black,2013,2
Penumbra: Black Plague Gold Edition,2012,2
Penumbra: Black Plague Gold Edition,2015,2
Penumbra: Black Plague Gold Edition,2014,2
There Came an Echo,2015,4
GunZ 2: The Second Duel,2014,31
GunZ 2: The Second Duel,2015,4
The Impossible Game,2014,2
The Impossible Game,2015,2
DARK SOULS™ II: Scholar of the First Sin,2015,21
MX vs. ATV Reflex,2013,6
MX vs. ATV Reflex,2014,6
MX vs. ATV Reflex,2015,2
Squishy the Suicidal Pig,2015,22
Squishy the Suicidal Pig,2014,2
DRAGON BALL XENOVERSE,2015,44
Town of Salem,2015,26
Dwarfs - F2P,2013,5
Dwarfs - F2P,2014,14
Dwarfs - F2P,2015,5
Corporate Lifestyle Simulator,2014,2
Daylight,2014,1
Turbo Dismount™,2014,26
Final Exam,2014,2
Thomas Was Alone,2014,24
Thomas Was Alone,2013,6
Thomas Was Alone,2015,1
Angry Video Game Nerd Adventures,2014,7
Angry Video Game Nerd Adventures,2013,2
Company of Heroes - Legacy Edition,2013,8
Company of Heroes - Legacy Edition,2012,4
Company of Heroes - Legacy Edition,2015,7
Company of Heroes - Legacy Edition,2014,7
Company of Heroes - Legacy Edition,2011,6
INSURGENCY: Modern Infantry Combat,2013,2
INSURGENCY: Modern Infantry Combat,2014,3
Hearts of Iron III,2013,2
Hearts of Iron III,2015,2
Hearts of Iron III,2014,9
Mount & Blade,2014,2
Mount & Blade,2013,2
Mount & Blade,2012,2
Mount & Blade,2011,2
Mount & Blade,2015,2
Altitude,2014,2
Altitude,2015,2
Altitude,2011,2
FEZ,2014,25
FEZ,2015,14
FEZ,2013,7
Warface,2014,34
Warface,2015,17
Natural Selection 2,2014,33
Natural Selection 2,2015,7
Natural Selection 2,2013,25
Natural Selection 2,2012,1
Plague Inc: Evolved,2015,15
Plague Inc: Evolved,2014,39
Hurtworld,2015,17
60 Seconds!,2015,2
Planet Explorers,2015,6
Planet Explorers,2014,5
Universe Sandbox,2014,8
Universe Sandbox,2015,2
Universe Sandbox,2013,2
The Long Dark,2014,15
The Long Dark,2015,26
8BitMMO,2013,17
8BitMMO,2015,4
8BitMMO,2014,15
RollerCoaster Tycoon® 3: Platinum,2015,7
RollerCoaster Tycoon® 3: Platinum,2013,1
RollerCoaster Tycoon® 3: Platinum,2014,2
Nidhogg,2014,16
Nidhogg,2015,11
Deus Ex: Human Revolution - Director's Cut,2015,12
Deus Ex: Human Revolution - Director's Cut,2014,23
Deus Ex: Human Revolution - Director's Cut,2013,3
PAYDAY 2: Sokol Character Pack,2015,5
PAYDAY 2: The Alesso Heist,2015,4
SpeedRunners,2015,58
SpeedRunners,2014,37
SpeedRunners,2013,10
Plug & Play,2015,9
Rocket League® - Back to the Future™ Car Pack,2015,9
Of Guards And Thieves,2015,2
"Sir, You Are Being Hunted",2013,6
"Sir, You Are Being Hunted",2014,12
"Sir, You Are Being Hunted",2015,3
Beat Hazard,2013,8
Beat Hazard,2015,8
Beat Hazard,2011,6
Beat Hazard,2014,11
Beat Hazard,2012,2
Neverwinter,2014,25
Neverwinter,2013,27
Neverwinter,2015,16
The Beginner's Guide,2015,32
Game of Thrones - A Telltale Games Series,2015,19
Game of Thrones - A Telltale Games Series,2014,10
Silent Hill Homecoming,2015,1
Assassin’s Creed® IV Black Flag™,2014,27
Assassin’s Creed® IV Black Flag™,2013,20
Assassin’s Creed® IV Black Flag™,2015,2
PAYDAY 2: Hotline Miami,2014,13
PAYDAY 2: Hotline Miami,2015,1
Shadowrun Chronicles - Boston Lockdown,2014,2
Fading Hearts,2014,4
Fading Hearts,2015,2
Spirited Heart Deluxe,2014,2
Freedom Planet,2014,8
Freedom Planet,2015,2
Odysseus: Long Way Home,2015,2
Mortal Online,2015,2
Dino D-Day,2013,25
Dino D-Day,2015,14
Dino D-Day,2014,27
Supreme Ruler 1936,2015,1
Command & Conquer: Red Alert 3,2015,7
Command & Conquer: Red Alert 3,2014,2
Command & Conquer: Red Alert 3,2013,6
Command & Conquer: Red Alert 3,2012,2
Age of Empires® III: Complete Collection,2014,24
Age of Empires® III: Complete Collection,2013,8
Age of Empires® III: Complete Collection,2015,11
Spelunky,2015,11
Spelunky,2014,14
Spelunky,2013,9
Dragons and Titans,2014,11
Red Faction Guerrilla Steam Edition,2015,13
Red Faction Guerrilla Steam Edition,2012,2
Red Faction Guerrilla Steam Edition,2014,4
Blackguards,2015,2
Eufloria HD,2014,2
Super Meat Boy,2014,27
Super Meat Boy,2015,18
Super Meat Boy,2012,6
Super Meat Boy,2011,8
Super Meat Boy,2013,10
Mitos.is: The Game,2015,15
Tabletop Simulator,2014,5
Tabletop Simulator,2015,7
Gang Beasts,2015,12
Gang Beasts,2014,8
Gunpoint,2015,21
Gunpoint,2014,48
Gunpoint,2013,18
Big Fish Legend,2015,2
Victoria II,2015,3
Victoria II,2014,7
Victoria II,2011,2
Dust: An Elysian Tail,2014,36
Dust: An Elysian Tail,2015,13
Dust: An Elysian Tail,2013,10
Tribes: Ascend,2015,15
Tribes: Ascend,2013,24
Tribes: Ascend,2014,24
Tribes: Ascend,2012,9
Hitman: Blood Money,2015,12
Hitman: Blood Money,2014,3
Hitman: Blood Money,2011,1
Hitman: Blood Money,2013,4
Hitman: Blood Money,2012,1
SimplePlanes,2015,2
Simply Chess,2015,5
Call of Duty®: Black Ops III,2015,78
Counter-Strike Nexon: Zombies,2015,16
Counter-Strike Nexon: Zombies,2014,10
Five Nights at Freddy's 3,2015,32
Sniper: Ghost Warrior,2014,3
Sniper: Ghost Warrior,2015,2
Hitman: Absolution™,2014,50
Hitman: Absolution™,2015,26
Hitman: Absolution™,2013,14
Hitman: Absolution™,2012,1
S.T.A.L.K.E.R.: Call of Pripyat,2015,6
S.T.A.L.K.E.R.: Call of Pripyat,2013,2
S.T.A.L.K.E.R.: Call of Pripyat,2012,2
S.T.A.L.K.E.R.: Call of Pripyat,2014,4
Total War: ATTILA,2015,28
Zombie Army Trilogy,2015,15
Men of War: Assault Squad 2,2015,11
Men of War: Assault Squad 2,2014,1
Mafia II,2015,21
Mafia II,2013,13
Mafia II,2014,20
Mafia II,2011,4
Mafia II,2012,2
Tactical Intervention,2014,51
Tactical Intervention,2015,23
Tactical Intervention,2013,29
Defence Alliance 2,2013,2
Defence Alliance 2,2015,2
Action! - Gameplay Recording and Streaming,2014,4
Darkest Dungeon®,2015,25
Assassin's Creed® Unity,2014,24
Assassin's Creed® Unity,2015,7
Dragon Nest,2013,6
Dragon Nest,2014,11
Dragon Nest,2015,17
Kung Fury,2015,88
Grand Theft Auto: Vice City,2014,11
Grand Theft Auto: Vice City,2015,10
Grand Theft Auto: Vice City,2013,1
Alien: Isolation,2014,26
Alien: Isolation,2015,23
Vampire: The Masquerade - Bloodlines,2015,1
Vampire: The Masquerade - Bloodlines,2012,3
Vampire: The Masquerade - Bloodlines,2014,6
This War of Mine,2014,19
This War of Mine,2015,26
Divinity: Original Sin (Classic),2014,15
Divinity: Original Sin (Classic),2015,5
The Witcher: Enhanced Edition Director's Cut,2013,2
The Witcher: Enhanced Edition Director's Cut,2011,2
The Witcher: Enhanced Edition Director's Cut,2015,14
The Witcher: Enhanced Edition Director's Cut,2014,15
The Elder Scrolls® Online: Tamriel Unlimited™,2015,26
The Elder Scrolls® Online: Tamriel Unlimited™,2014,2
Farming Simulator 15,2015,7
Farming Simulator 15,2014,12
Test Drive Unlimited 2,2015,4
Test Drive Unlimited 2,2014,3
The Darkness II,2014,6
The Darkness II,2015,10
The Darkness II,2013,2
Boring Man - Online Tactical Stickman Combat,2015,17
Super Crate Box,2014,38
Super Crate Box,2012,2
Super Crate Box,2015,6
Super Crate Box,2013,11
Call of Duty®: Black Ops,2014,16
Call of Duty®: Black Ops,2015,14
Call of Duty®: Black Ops,2012,4
Call of Duty®: Black Ops,2011,8
Call of Duty®: Black Ops,2013,4
Carpe Diem,2015,14
Kold War Pack,2015,2
How to Survive,2015,16
How to Survive,2014,20
How to Survive,2013,2
Arma 3 Marksmen,2015,6
Next Car Game: Wreckfest,2014,31
Next Car Game: Wreckfest,2015,8
Morphopolis,2015,1
Tropico 4,2015,8
Tropico 4,2014,18
Tropico 4,2012,4
Tropico 4,2013,4
Shadow Warrior,2014,16
Shadow Warrior,2013,11
Shadow Warrior,2015,11
Mount & Blade: Warband - Napoleonic Wars,2014,4
Mount & Blade: Warband - Napoleonic Wars,2015,3
Rogue Legacy,2015,14
Rogue Legacy,2013,21
Rogue Legacy,2014,29
RER2 Episode Three: Judgment,2015,2
Wargame: European Escalation,2014,2
Wargame: European Escalation,2013,4
Wargame: European Escalation,2015,2
Blockstorm,2015,10
Blockstorm,2014,4
SPORE™ Galactic Adventures,2015,4
MapleStory,2014,12
MapleStory,2013,13
MapleStory,2015,10
The Expendabros,2014,39
The Expendabros,2015,14
Rise of Nations: Extended Edition,2014,17
Rise of Nations: Extended Edition,2015,6
Lords Of The Fallen™,2015,2
Lords Of The Fallen™,2014,2
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,2014,6
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,2015,4
Marvel Puzzle Quest,2014,6
Marvel Puzzle Quest,2013,2
Super Amazing Wagon Adventure,2015,5
Super Amazing Wagon Adventure,2013,4
Super Amazing Wagon Adventure,2014,6
Edge of Space,2014,7
Metro: Last Light Redux,2015,21
Metro: Last Light Redux,2014,2
Waveform,2015,7
Five Nights at Freddy's 4,2015,23
Empyrion - Galactic Survival,2015,4
Magic: The Gathering - Duels of the Planeswalkers 2012,2014,4
Magic 2015 - Duels of the Planeswalkers,2014,4
Magic 2015 - Duels of the Planeswalkers,2015,2
LYNE,2015,10
LYNE,2014,4
METAL GEAR RISING: REVENGEANCE,2014,30
METAL GEAR RISING: REVENGEANCE,2015,7
I am Bread,2014,8
I am Bread,2015,10
Skullgirls,2014,33
Skullgirls,2015,39
Skullgirls,2013,8
BioShock™,2014,48
BioShock™,2012,2
BioShock™,2013,18
BioShock™,2015,18
BioShock™,2011,1
Fallout New Vegas®: Gun Runners’ Arsenal™,2015,2
Portal Stories: Mel,2015,31
Resident Evil™ 5/ Biohazard 5®,2015,2
Resident Evil™ 5/ Biohazard 5®,2013,2
Resident Evil™ 5/ Biohazard 5®,2014,2
Resident Evil / biohazard HD REMASTER,2015,3
Fallout 2: A Post Nuclear Role Playing Game,2014,1
Fallout 2: A Post Nuclear Role Playing Game,2015,7
Broforce,2014,50
Broforce,2015,40
Primal Carnage: Extinction,2014,5
Primal Carnage: Extinction,2015,6
Bleed,2014,8
Bleed,2015,2
Bleed,2013,4
Phantom Breaker: Battle Grounds,2015,3
Floating Point,2014,8
Floating Point,2015,3
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",2015,21
The Sandbox,2014,2
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,2013,6
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,2015,8
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,2014,4
STAR WARS™ - Knights of the Old Republic™,2012,4
STAR WARS™ - Knights of the Old Republic™,2013,5
STAR WARS™ - Knights of the Old Republic™,2015,14
STAR WARS™ - Knights of the Old Republic™,2011,1
STAR WARS™ - Knights of the Old Republic™,2010,2
STAR WARS™ - Knights of the Old Republic™,2014,8
Orcs Must Die! 2,2012,6
Orcs Must Die! 2,2013,17
Orcs Must Die! 2,2015,9
Orcs Must Die! 2,2014,15
Talisman: Digital Edition,2015,5
Talisman: Digital Edition,2014,6
Brick-Force,2015,3
Brick-Force,2014,2
Survival: Postapocalypse Now,2015,13
Downwell,2015,2
Supreme Commander 2,2014,8
Supreme Commander 2,2013,2
Supreme Commander 2,2011,2
Supreme Commander 2,2015,7
Supreme Commander 2,2012,2
Lugaru HD,2015,1
Lugaru HD,2011,2
Space Beast Terror Fright,2015,1
Hand of Fate,2015,8
Hand of Fate,2014,4
Kingdoms of Amalur: Reckoning™,2015,9
Kingdoms of Amalur: Reckoning™,2014,8
Kingdoms of Amalur: Reckoning™,2013,2
Sniper: Ghost Warrior 2,2014,5
Sniper: Ghost Warrior 2,2015,2
Sniper: Ghost Warrior 2,2013,4
Hardland,2014,2
Zombie Kill of the Week - Reborn,2015,2
Blade Symphony,2014,15
Blade Symphony,2013,1
Trine 2: Complete Story,2013,15
Trine 2: Complete Story,2014,25
Trine 2: Complete Story,2015,8
Resident Evil Revelations 2 / Biohazard Revelations 2,2015,6
GRID 2,2014,18
GRID 2,2013,5
GRID 2,2015,4
Batman: Arkham Asylum Game of the Year Edition,2013,13
Batman: Arkham Asylum Game of the Year Edition,2015,20
Batman: Arkham Asylum Game of the Year Edition,2014,11
Batman: Arkham Asylum Game of the Year Edition,2012,2
Europa Universalis IV,2014,30
Europa Universalis IV,2013,5
Europa Universalis IV,2015,23
Torchlight II,2014,68
Torchlight II,2013,29
Torchlight II,2015,19
Torchlight II,2012,2
Steel Ocean,2015,6
Cubemen,2012,4
Cubemen,2014,2
Cubemen,2015,2
Mountain,2014,12
Mountain,2015,19
Ultra Street Fighter® IV,2014,15
Ultra Street Fighter® IV,2015,3
Ultra Street Fighter® IV,2013,2
DC Universe™ Online,2014,51
DC Universe™ Online,2015,16
DC Universe™ Online,2013,19
DC Universe™ Online,2012,7
DC Universe™ Online,2011,4
Transformice,2015,25
S.T.A.L.K.E.R.: Clear Sky,2012,2
S.T.A.L.K.E.R.: Clear Sky,2011,2
S.T.A.L.K.E.R.: Clear Sky,2015,2
Jet Set Radio,2014,1
Jet Set Radio,2015,2
Tom Clancy's Splinter Cell Chaos Theory®,2014,3
Tom Clancy's Splinter Cell Chaos Theory®,2010,2
Tom Clancy's Splinter Cell Chaos Theory®,2015,4
Deadlight,2014,16
Deadlight,2013,8
Deadlight,2015,1
Vanguard Princess Director's Cut,2014,2
Wargame: Airland Battle,2013,12
Wargame: Airland Battle,2014,7
Wargame: Airland Battle,2015,3
Universe Sandbox ²,2015,13
Kinetic Void,2014,4
Warhammer: End Times - Vermintide,2015,24
SMITE® - Ultimate God Pack,2015,2
HuniePop,2015,48
Scribblenauts Unmasked: A DC Comics Adventure,2015,1
Scribblenauts Unmasked: A DC Comics Adventure,2014,2
Scribblenauts Unmasked: A DC Comics Adventure,2013,5
The Walking Dead: 400 Days,2015,3
Mount Your Friends,2015,11
Mount Your Friends,2014,11
Sniper Elite: Nazi Zombie Army 2,2015,2
Sniper Elite: Nazi Zombie Army 2,2014,10
Sniper Elite: Nazi Zombie Army 2,2013,1
SNOW,2015,6
SNOW,2014,8
SNOW,2013,2
Prime World: Defenders,2013,3
E.Y.E: Divine Cybermancy,2012,4
E.Y.E: Divine Cybermancy,2015,4
E.Y.E: Divine Cybermancy,2014,8
E.Y.E: Divine Cybermancy,2011,2
E.Y.E: Divine Cybermancy,2013,3
EasyAntiCheat eSports,2015,4
RPG Maker VX Ace,2014,8
RPG Maker VX Ace,2013,4
Wolfenstein: The Old Blood,2015,8
Turbo Pug,2015,11
Screencheat,2015,3
Screencheat,2014,10
Arma 3 Zeus,2015,2
Unreal Gold,2015,2
Hatoful Boyfriend,2015,9
Hatoful Boyfriend,2014,4
Men of War: Assault Squad,2014,8
Men of War: Assault Squad,2015,2
Men of War: Assault Squad,2012,2
DLC Quest,2014,16
DLC Quest,2013,15
DLC Quest,2015,7
Planetbase,2015,2
Murdered: Soul Suspect,2015,4
Murdered: Soul Suspect,2014,4
Ship Simulator Extremes,2014,2
Trainz™ Simulator 12,2014,4
Mark of the Ninja,2014,29
Mark of the Ninja,2015,6
Mark of the Ninja,2013,6
VVVVVV,2015,2
VVVVVV,2012,2
VVVVVV,2014,12
Day One : Garry's Incident,2013,2
Batman™: Arkham Knight,2015,42
Airships: Conquer the Skies,2015,2
Estranged: Act I,2014,44
Estranged: Act I,2015,5
Gauntlet™ Slayer Edition,2014,9
Battle Islands,2014,8
Battle Islands,2015,2
Overgrowth,2014,11
Overgrowth,2015,7
Overgrowth,2013,4
Fallout 3,2014,15
Fallout 3,2015,10
Fallout 3,2013,4
Half-Life: Blue Shift,2015,5
AI War: Fleet Command,2014,4
AI War: Fleet Command,2015,2
PAYDAY 2: The Butcher's BBQ Pack,2015,12
Mortal Kombat X,2015,23
Assassin’s Creed® III,2014,11
Assassin’s Creed® III,2013,12
Assassin’s Creed® III,2012,2
Assassin’s Creed® III,2015,4
Sid Meier's Civilization® III Complete,2014,4
Sid Meier's Civilization® III Complete,2010,2
Enforcer: Police Crime Action,2014,4
Enforcer: Police Crime Action,2015,2
Battlestations Pacific,2014,2
Battlestations Pacific,2015,1
Call to Arms,2015,8
Sniper Elite,2012,2
Polarity,2015,7
Coma: Mortuary,2014,2
Victim of Xen,2015,2
Skulls of the Shogun,2015,2
"10,000,000",2015,2
"10,000,000",2014,1
"Warhammer 40,000: Space Marine - Iron Hands Chapter Pack DLC",2015,2
Minimum,2014,7
Minimum,2015,8
The Fifth Day,2014,4
Thinking with Time Machine,2014,25
Thinking with Time Machine,2015,5
F.E.A.R.,2015,3
F.E.A.R.,2013,4
F.E.A.R.,2014,4
Aura Kingdom,2015,16
Aura Kingdom,2014,17
Lichdom: Battlemage,2014,10
Guns and Robots,2014,3
School of Dragons,2014,1
School of Dragons,2015,4
PAC-MAN™ Championship Edition DX+,2014,15
PAC-MAN™ Championship Edition DX+,2015,12
Penguins Arena: Sedna's World,2014,6
Volgarr the Viking,2014,3
Battlefield: Bad Company™ 2,2015,8
Battlefield: Bad Company™ 2,2014,32
Battlefield: Bad Company™ 2,2011,6
Battlefield: Bad Company™ 2,2013,5
Home,2013,2
Home,2015,2
Dead Pixels,2013,3
Dead Pixels,2014,3
Dead Pixels,2012,2
Dead Pixels,2015,3
200% Mixed Juice!,2015,2
Octodad: Dadliest Catch,2014,42
Octodad: Dadliest Catch,2015,3
If My Heart Had Wings,2015,6
Sniper Elite V2,2014,61
Sniper Elite V2,2013,4
Sniper Elite V2,2015,16
Relic Hunters Zero,2015,8
Call of Duty®: Black Ops - Rezurrection Content Pack,2014,2
Call of Duty®: Black Ops - Rezurrection Content Pack,2015,2
Shantae and the Pirate's Curse,2015,2
Ori and the Blind Forest,2015,52
F1 2014,2015,4
F1 2014,2014,2
Shovel Knight: Treasure Trove,2014,10
Shovel Knight: Treasure Trove,2015,11
Legend of Grimrock,2013,4
Legend of Grimrock,2014,6
Train Simulator,2014,6
Train Simulator,2015,11
Train Simulator,2013,4
Train Simulator,2010,2
Train Simulator,2012,1
Airport Simulator 2014,2014,2
Gratuitous Space Battles,2015,2
Gratuitous Space Battles,2011,1
Gratuitous Space Battles,2013,2
Gratuitous Space Battles,2012,2
ArcheAge,2015,10
ArcheAge,2014,8
Just Cause,2011,1
Just Cause,2015,2
Just Cause,2014,4
BeamNG.drive,2015,10
BeamNG.drive,2014,4
The I of the Dragon,2015,2
Schrödinger’s Cat And The Raiders Of The Lost Quark,2015,2
Deus Ex: The Fall,2014,6
Deus Ex: Game of the Year Edition,2014,12
Deus Ex: Game of the Year Edition,2015,5
Deus Ex: Game of the Year Edition,2012,4
Deus Ex: Game of the Year Edition,2011,2
Deus Ex: Game of the Year Edition,2013,2
Dragon Age: Origins - Ultimate Edition,2014,14
Dragon Age: Origins - Ultimate Edition,2013,4
Dragon Age: Origins - Ultimate Edition,2015,1
Squad,2015,12
Real Horror Stories Ultimate Edition,2014,2
Real Horror Stories Ultimate Edition,2015,2
Shadowgrounds,2014,2
Slender: The Arrival,2014,8
Slender: The Arrival,2013,1
Slender: The Arrival,2015,2
Killer is Dead - Nightmare Edition,2015,2
Killer is Dead - Nightmare Edition,2014,2
Worms Clan Wars,2013,2
911: First Responders®,2015,6
Lethal League,2014,12
Lethal League,2015,12
Castle Crashers - Blacksmith Pack,2015,6
Farm for your Life,2014,2
The Sims™ 3,2013,5
The Sims™ 3,2014,21
The Sims™ 3,2015,2
Prototype 2,2015,6
Get Rich or Die Gaming,2015,2
//N.P.P.D. RUSH//- The milk of Ultraviolet,2015,2
Two Worlds II HD,2014,2
Two Worlds II HD,2012,2
Two Worlds II HD,2013,2
Nuclear Dawn,2011,2
Nuclear Dawn,2013,2
Interplanetary,2014,6
"Warhammer 40,000: Dawn of War II",2015,5
"Warhammer 40,000: Dawn of War II",2014,6
"Warhammer 40,000: Dawn of War II",2013,2
"Warhammer 40,000: Dawn of War II",2011,4
"Warhammer 40,000: Dawn of War II",2012,1
Timber and Stone,2015,2
ARMA: Gold Edition,2015,2
Rocksmith® 2014 Edition - Remastered,2015,4
Rocksmith® 2014 Edition - Remastered,2014,4
Rocksmith® 2014 Edition - Remastered,2013,4
LEGO® Worlds,2015,9
Mount & Blade: With Fire & Sword,2014,6
Mount & Blade: With Fire & Sword,2011,1
Mount & Blade: With Fire & Sword,2013,5
Mount & Blade: With Fire & Sword,2015,2
Mount & Blade: With Fire & Sword,2012,1
CPUCores :: Maximize Your FPS,2015,2
DOOM 3,2015,2
DOOM 3,2011,2
Red Crucible®: Firestorm,2015,15
Half-Life: Before,2013,4
Half-Life: Before,2015,2
Pox Nora,2014,1
FSX: Steam Edition - Diamond DA40 Add-On,2015,2
Electronic Super Joy,2015,3
Electronic Super Joy,2013,10
Electronic Super Joy,2014,12
Child of Light,2014,11
ENSLAVED™: Odyssey to the West™ Premium Edition,2014,6
ENSLAVED™: Odyssey to the West™ Premium Edition,2015,3
Half-Life 2 Soundtrack,2015,4
FINAL FANTASY TYPE-0™ HD,2015,8
Shadowrun: Dragonfall - Director's Cut,2015,4
Hard Reset Extended Edition,2015,1
Hard Reset Extended Edition,2014,4
Hard Reset Extended Edition,2011,2
Hard Reset Extended Edition,2013,2
Hard Reset Extended Edition,2012,2
BRINK,2011,2
BRINK,2012,2
BRINK,2014,1
Frontlines™: Fuel of War™,2014,2
Interstellar Rift,2015,2
Executive Assault,2015,7
STAR WARS™ Republic Commando™,2015,12
STAR WARS™ Republic Commando™,2014,2
Tom Clancy's Rainbow Six® 3 Gold,2014,2
Burnout Paradise: The Ultimate Box,2013,10
Burnout Paradise: The Ultimate Box,2014,29
Burnout Paradise: The Ultimate Box,2012,2
Burnout Paradise: The Ultimate Box,2015,7
Burnout Paradise: The Ultimate Box,2011,2
The Bureau: XCOM Declassified,2014,6
The Bureau: XCOM Declassified,2015,4
TrackMania Nations Forever,2015,7
TrackMania Nations Forever,2014,9
TrackMania Nations Forever,2013,2
TrackMania Nations Forever,2012,2
Unreal Tournament 2004: Editor's Choice Edition,2014,2
Unreal Tournament 2004: Editor's Choice Edition,2015,4
Unreal Tournament 2004: Editor's Choice Edition,2012,2
Dwarfs!?,2013,4
Dwarfs!?,2011,2
Dwarfs!?,2015,1
Silent Hunter 5®: Battle of the Atlantic,2014,2
King Arthur's Gold,2013,18
King Arthur's Gold,2014,20
King Arthur's Gold,2015,12
Knights of Honor,2014,1
Knights of Honor,2015,2
Jazzpunk: Director's Cut,2015,8
Jazzpunk: Director's Cut,2014,18
The Banner Saga,2015,6
The Banner Saga,2014,8
Copa Petrobras de Marcas,2015,5
Hexcells,2015,6
Hexcells,2014,2
Missing Translation,2015,4
Controller Companion,2015,2
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,2014,35
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,2015,6
Skullgirls: Eliza,2015,1
Skullgirls: Eliza,2014,1
Sonic & All-Stars Racing Transformed,2015,8
Sonic & All-Stars Racing Transformed,2013,28
Sonic & All-Stars Racing Transformed,2014,14
Sonic Generations Collection,2015,7
Sonic Generations Collection,2012,2
Sonic Generations Collection,2011,1
Sonic Generations Collection,2014,2
Thief™ Gold,2015,3
Thief™ Gold,2014,6
Sonic the Hedgehog 4 - Episode II,2014,2
Sonic the Hedgehog 4 - Episode II,2013,2
Sonic Lost World,2015,6
Trainz: A New Era,2015,2
The Masterplan,2015,2
Hotline Miami 2: Wrong Number,2015,16
Noct,2015,4
Endless Space® - Collection,2014,4
Endless Space® - Collection,2012,4
Endless Space® - Collection,2013,4
Endless Space® - Collection,2015,2
Frozen Synapse,2011,4
Frozen Synapse,2014,9
Frozen Synapse,2015,2
Ryse: Son of Rome,2015,8
Ryse: Son of Rome,2014,4
The Fall,2015,4
The Fall,2014,4
VoidExpanse,2015,2
Voices from the Sea,2015,7
Dead Rising® 2,2014,3
Dead Rising® 2,2013,1
Dead Rising® 2,2015,2
100% Orange Juice,2015,4
100% Orange Juice,2014,5
Democracy 3,2014,22
Democracy 3,2015,2
DETOUR,2015,2
Detective Grimoire,2015,2
Detective Grimoire,2014,2
RUNNING WITH RIFLES,2015,4
RUNNING WITH RIFLES,2014,4
X Rebirth,2015,4
X Rebirth,2013,2
Deepworld,2015,2
Atom Zombie Smasher,2011,6
Atom Zombie Smasher,2012,2
NightSky,2011,4
NightSky,2014,2
Cogs,2011,4
Osmos,2010,2
LARA CROFT AND THE TEMPLE OF OSIRIS™,2014,2
Hard West,2015,2
STAR WARS™ Jedi Knight II - Jedi Outcast™,2011,2
STAR WARS™ Jedi Knight II - Jedi Outcast™,2015,2
IL-2 Sturmovik: 1946,2012,2
IL-2 Sturmovik: 1946,2015,4
IL-2 Sturmovik: 1946,2014,6
Men of War™,2014,2
Men of War™,2012,2
Damned,2015,7
Damned,2014,3
Hook,2015,8
Air Brawl,2015,6
Call of Duty®: Advanced Warfare - Gold Edition,2015,30
Call of Duty®: Advanced Warfare - Gold Edition,2014,33
RaceRoom Racing Experience,2013,8
RaceRoom Racing Experience,2015,4
RaceRoom Racing Experience,2014,6
DCS: P-51D Mustang,2014,2
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,2014,9
McPixel,2013,7
McPixel,2014,9
McPixel,2015,1
Out There Somewhere,2015,11
Without Within,2015,20
